"date","name","id","metricName","metricQuantity","clusterId"
"2024-10-13","IBM Db2 Standard Edition VPC Option","237beb0aed3a4083af3e17f37f4b7a15","VIRTUAL_PROCESSOR_CORE","4","co9020128165.pl.eurolabs.ibm.com"
"2024-10-14","IBM Db2 Standard Edition VPC Option","237beb0aed3a4083af3e17f37f4b7a15","VIRTUAL_PROCESSOR_CORE","4","co9020128165.pl.eurolabs.ibm.com"
"2024-10-15","IBM Db2 Standard Edition VPC Option","237beb0aed3a4083af3e17f37f4b7a15","VIRTUAL_PROCESSOR_CORE","4","co9020128165.pl.eurolabs.ibm.com"
"2024-10-16","IBM Db2 Standard Edition VPC Option","237beb0aed3a4083af3e17f37f4b7a15","VIRTUAL_PROCESSOR_CORE","4","co9020128165.pl.eurolabs.ibm.com"
"2024-10-02","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-03","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-04","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-05","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-06","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-07","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-08","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-09","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-10","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-11","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-12","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-13","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-14","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-15","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-16","IBM Spectrum Scale Standard Server for Linux on z System","9f3e87928ddb410e8f770be22a5db535","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-02","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-03","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-04","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-05","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-06","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-07","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
